Date,H75274,B83188,E88953,I86594,H81564,E77259,I89824,H84386,C54148,H89803,H89011,I87439,F89330,H31500,D75261,F83143,E10874,E18438,B28484,E80050,E82598,H11348,H38746,H88405,F85464,I84624,B89952,D75652,H85765,H89234,H90001,D88434,G77530,E85744,I88546,G59010,H84215,H66800,E75470,I90366,H11992,H88214,H57007,H84007,I85077,E46463,E54253,H90434,H70703,D80928,D89155,H86451,H89282,H63467,H79356,F23887,H86143,H88222,C80193,E27430,E82547,I86144,E89456,H89490,E77157,H89233,D89971,E88352,H89748,F63773,H10629,B86341,H75336,G90371,E62228,H78852,D80070,H90003,I83303,D79686,H77607,H89517,H79665,D85926,F87447,D36281,H88404,C84603,E12490,H81299,I84373,H75269,H90038
Y2005M1,-0.033233,-0.017261,-0.026502,-0.049157,-0.086347,-0.053435,-0.032412,-0.044595,0.035737,-0.076357,0.064765,0.244444,0.042744,-0.037009,-0.02618,-0.075107,-0.068283,0.067961,0.051833,-0.076517,-0.041541,-0.008814,0.016956,-0.01608,-0.028006,-0.092924,-0.093273,-0.037843,-0.024295,-0.026736,-0.028596,-0.093418,0.156506,0.066667,-0.161512,0.04214,-0.175204,0.009441,-0.009069,0.053049,-0.092381,0.058803,0.060294,-0.100418,-0.121265,-0.002593,-0.03432,-0.016453,-0.055339,-0.002294,-0.027237,-0.031136,0.036057,-0.004822,0.043394,-0.021755,0.024596,-0.040618,0.015662,0.002784,-0.216867,0.133333,-0.00262,0.049394,0.00309,-0.041049,0.008962,-0.002998,-0.019022,0.069786,-0.028487,-0.098487,0.009945,-0.114083,-0.026936,-0.011905,-0.096045,-0.031323,0,-0.174931,0.025732,0.050833,0.039244,-0.036981,-0.126141,0.052054,-0.024981,0.005369,-0.052343,0.028139,-0.001047,-0.005115,0.064812
Y2005M2,0.048117,0.327802,0.105263,-0.027876,-0.029523,0,0.149261,0.089645,0.18069,0.006972,0.006124,-0.032143,0.157025,0.077107,0.037323,-0.04078,0.011275,-0.073182,0.158684,0.005714,-0.057475,-0.004121,-0.025652,0.04403,0.050597,0.039434,0.150432,0.050428,0.02994,0.019184,0.037157,0.053864,0.054739,-0.068452,0.051229,-0.029886,0.083708,0.007694,0.072423,0.059454,-0.105121,0.108492,0.138465,-0.068605,-0.2612,-0.145934,-0.047998,-0.003659,0.064652,-0.034483,0.013333,0.030085,0.007168,0.072584,-0.018897,-0.011119,0.025565,0.01642,0.15771,-0.104581,0.302098,-0.013445,-0.012259,0.018287,0.095511,0.031786,-0.104722,0.181704,0.032486,0.062925,-0.026289,0.106918,0.004408,0.098587,0.044983,0.008726,0.220312,0.014059,-0.114286,0.057777,-0.011474,0.008117,0.002797,0.018908,0.042046,0.019096,0.032405,0.098131,-0.007065,0.02,0.043022,-0.056555,0.059637
Y2005M3,-0.124248,-0.028975,0.018062,-0.007821,-0.039089,0.041936,-0.003223,-0.060142,-0.055627,0.024728,-0.024732,-0.066421,-0.096857,-0.130564,0.024125,0.066174,0.004503,-0.043649,-0.038745,0.411932,-0.078307,-0.011379,0.075033,-0.02458,-0.11505,-0.060206,0.018,0.029226,-0.023606,-0.035687,-0.011423,-0.288889,0.081211,0.047604,-0.204499,0.02391,0.016667,-0.168638,-0.083488,-0.007731,-0.012952,-0.073405,-0.094416,0.007491,-0.069252,-0.06913,-0.167061,-0.091389,-0.060726,-0.05,-0.082895,-0.005623,-0.010215,-0.006681,-0.020702,-0.011244,-0.02171,-0.028364,-0.128199,-0.045736,0.038668,-0.032368,0.004472,-0.040688,0.010044,-0.01376,-0.025587,-0.035631,-0.010756,-0.065429,0.006306,-0.042257,-0.042541,-0.104063,-0.29404,-0.072233,0.030943,-0.019014,0.451613,-0.128505,-0.024559,-0.087774,-0.062762,-0.006313,-0.061298,0.003505,-0.012452,-0.16535,-0.012962,-0.03096,0.057646,0.008174,-0.020349
Y2005M4,0.031035,-0.121157,0.016129,-0.2433,0.012976,-0.091331,0.100418,0.004389,-0.029608,0.003922,0.018067,-0.083004,-0.13366,0.002986,-0.046656,0.02982,-0.103522,-0.055155,-0.026608,-0.191147,-0.035792,-0.049529,-0.008163,-0.016578,-0.108844,-0.102677,-0.051081,0.008067,-0.028919,-0.008432,-0.036765,0,-0.099556,-0.109485,-0.041131,-0.020375,0,-0.082296,-0.108502,0.015124,-0.078296,-0.030494,-0.005605,-0.097893,-0.133929,-0.10369,-0.078472,0.036628,0.004198,-0.027569,-0.008071,0.034829,0.033404,-0.05077,0.033001,-0.014683,-0.015269,-0.05657,-0.085439,-0.049564,0.094105,-0.059507,0.0748,0.021171,-0.024662,0.051853,0.023044,-0.055641,-0.035283,-0.054044,-0.010444,-0.077504,-0.009884,-0.125285,0.086304,0.026592,-0.083313,-0.024484,0.102963,-0.410464,0.033427,0.027073,0.013647,-0.067385,-0.019659,-0.203169,-0.035212,-0.249818,-0.16415,-0.015234,0.008085,0,-0.018101
Y2005M5,-0.006719,0.063529,0.039683,0.101389,0.032462,-0.124361,-0.013286,-0.005736,0.069979,-0.027344,0.042435,0.196121,0.07718,0.039693,-0.024045,-0.03367,0.024762,-0.06874,-0.008542,-0.21393,0.078365,-0.031331,-0.106584,-0.005664,-0.032231,0.027384,-0.055694,0.071658,0.030285,0.005512,0.05398,-0.075,0.187562,0.061644,-0.112601,-0.016393,0.002459,0.092429,0.253406,0.030813,0.067423,0.042477,0.170237,-0.006868,-0.016495,0.038562,0.287115,0.018079,0.006809,-0.041237,-0.013368,0.012621,0.01945,0.020343,0.048162,0.069804,-0.023728,0.064648,0.172368,0.091117,-0.098299,0.020217,0.134217,0.025868,0.048532,0,0.222106,0.152771,0.053197,-0.021485,-0.007388,0.080554,0.001775,0.022007,0.019164,0.045888,0.068638,0.053931,0.437206,0.149502,0.027075,0.037338,0.002244,0.069158,0.037442,0.573099,0.055397,0.257282,-0.008248,0.028729,-0.007561,0.010811,0.064672
Y2005M6,0.010193,0.083404,-0.012214,0.119168,0.052175,-0.044747,-0.016634,0.035256,0.102682,0.101406,0.045537,-0.120721,0.008612,-0.018473,-0.048985,0.080836,0.006506,0.0744,0.15035,0.164557,-0.017038,0.155632,0.186089,0.010443,0.051709,0.072822,0.038615,-0.067944,-0.016881,0.019577,0.030005,-0.033784,-0.083437,0.016129,-0.154079,-0.057381,0.001642,0.048155,-0.042391,0.008046,0.043621,-0.004666,-0.008285,-0.065007,0.177061,0.113899,0.008513,0.02739,0.050719,0.008065,-0.039764,-0.00524,0.022576,0.008528,-0.012564,0.003666,0.001525,0.040776,0.070894,-0.01917,-0.176101,-0.030092,0.025754,0.057929,-0.025671,-0.011483,-0.049293,-0.057778,0.031762,0.055419,0.057589,0.040478,0.025595,-0.144161,0.111111,0.035664,0.202539,-0.002933,0.004673,0.01569,0.031158,0.015782,0.054478,-0.038617,-0.060964,0.237732,0.034723,-0.061776,-0.017869,0.088077,0.014667,0.009358,0.027027
Y2005M7,-0.011261,0.049162,0.05255,0.121127,0.086837,0.04888,0.084978,0.06161,0.111217,0.100926,-0.006254,0.02459,0.112022,0.030949,0.016962,0.105416,0.074792,-0.015899,0.106563,0.133152,-0.09763,0.091538,0.100194,0.033154,0.125833,-0.0315,0.087607,0.010597,0.038672,0.02381,0.051733,0.090909,0.031833,-0.006349,-0.010714,0.068861,0.016393,0.036145,0.321604,0.035477,0.008759,0.124688,0.192345,0.131657,0.00609,0.164414,0.058442,0,0.053902,0.042667,0.068712,0.022559,0.016867,-0.036048,0.032224,-0.022321,0.016346,0.065777,0.145057,0.083468,0.218829,0.123345,0.068149,-0.02931,0.023952,0.030643,-0.224076,0.487993,0.045068,-0.023524,0.005089,-0.037783,0.051462,0.023454,-0.076923,0.024348,0.03339,0.043702,0.04186,0.138211,0.01804,0.017024,-0.001441,0.065676,0.05509,0.033059,0.053175,-0.004115,0.124798,0.007049,-0.034541,-0.007947,0.023546
Y2005M8,0.017163,0.072417,0.070485,-0.00402,-0.057273,0.007767,0.094655,0.106153,-0.079257,-0.033642,0.009689,-0.166,0.056204,0.0407,-0.005259,0.005833,-0.054983,-0.075766,0.078398,-0.080096,-0.069777,0.014684,0.061915,0.030272,-0.019985,-0.152542,-0.0222,0.033579,-0.013419,0.00075,-0.003661,-0.064103,0.078008,0.073482,0.074007,-0.099479,0,-0.01412,-0.059261,0.034797,-0.015419,-0.024729,-0.166368,-0.101961,-0.166465,-0.008124,-0.191411,0.006071,-0.006982,-0.038363,-0.026817,-0.003467,0.024588,0.097645,-0.018159,0.038052,-0.005726,-0.020032,-0.045844,-0.154821,0.244259,-0.011452,0.030222,-0.001151,0.005848,-0.001943,-0.066241,0.072046,-0.003161,0.025094,-0.071392,0.039876,-0.023529,-0.075833,-0.005833,-0.005724,0.212859,-0.01402,-0.147321,-0.167857,0.012684,-0.015343,-0.038961,-0.043536,-0.023982,-0.253058,-0.008107,-0.028926,-0.031632,-0.012,-0.02649,-0.025367,0.012449
Y2005M9,-0.014689,0.063535,0.009602,-0.173058,0.057624,0.030828,0.037301,0.156604,-0.003248,-0.047868,-0.030533,0.040767,0.275371,-0.029331,-0.011933,0.064077,-0.1425,0.109705,0.084186,-0.084463,0.000421,-0.069074,-0.09322,0.015763,-0.008308,0.032432,-0.065421,0.029575,0.009674,0.029985,0.015338,0.10274,-0.167518,0.127976,-0.021849,-0.083114,0.004049,0.046622,0.103165,-0.067089,-0.003679,0.123932,-0.081314,0.010189,-0.01566,-0.040562,-0.017767,0.001657,-0.030469,-0.06117,-0.037926,-0.005517,-0.002393,0.046766,-0.016244,0.01173,-0.014346,0.000868,-0.058776,-0.09645,-0.097315,-0.055196,0.25163,-0.016189,-0.200775,0.009735,-0.263223,-0.014919,0.021232,-0.043146,-0.045831,0.19583,-0.006936,0.00541,-0.086337,-0.001703,0.021431,0.005035,-0.136126,0.032618,-0.055435,-0.039706,0.047222,-0.064828,-0.024827,0.069899,0.00728,0.168511,-0.004962,-0.022267,0.011205,-0.021918,0.019555
Y2005M10,-0.047235,-0.106542,0.058424,0.050641,0.005644,-0.056075,0.009153,-0.10987,-0.119525,-0.024164,0.006696,-0.313364,-0.041891,0.00282,-0.039092,0.06267,0.010602,-0.003828,-0.090182,-0.060364,0.151222,-0.002564,-0.019813,-0.030416,-0.031226,-0.013613,-0.026522,0.140634,-0.016098,0.011354,-0.034618,-0.10559,-0.096059,0.240106,-0.085911,-0.006024,0.024194,0.045836,0,-0.01436,-0.009539,-0.055767,-0.055319,0.119597,-0.036364,-0.105691,0.082429,-0.032778,-0.103948,-0.014164,-0.05944,-0.030622,-0.031095,0.095391,-0.011288,-0.097417,-0.004395,-0.039313,-0.012272,-0.105436,-0.000929,-0.045438,-0.053158,-0.033346,-0.076625,-0.01639,-0.065878,0.21067,-0.01754,-0.030256,0.037037,-0.078699,-0.033431,0.074439,0.009174,-0.018188,-0.113993,-0.008431,-0.066667,-0.287199,-0.025152,-0.017401,-0.027666,0.060051,0.055114,0.03496,-0.037,-0.199563,0.020693,-0.044397,-0.074001,-0.019608,0.003678
