"Stock","PC1","PC2","Industry"
"H75274",0.110054764546904,-0.125455717600004,"Finance_RealEstate"
"B83188",0.106971565581814,-0.0170212725524145,"Mining"
"E88953",0.137722460618589,-0.0017123323451832,"Transport_Utilities"
"I86594",0.110036477029275,0.121657588967504,"Services"
"H81564",0.0926691102093991,0.127352397267608,"Finance_RealEstate"
"E77259",0.0311490999282159,-0.0454414343935933,"Transport_Utilities"
"I89824",0.0692442635279949,-0.0235869136117879,"Services"
"H84386",0.0978759826021812,-0.0729202683178637,"Finance_RealEstate"
"C54148",0.0881786603227036,0.00781550602986464,"Construction"
"H89803",0.124961712428144,-0.030306890027182,"Finance_RealEstate"
"H89011",0.042094287362968,-0.273918690818716,"Finance_RealEstate"
"I87439",0.0425408888319313,0.0374899142157785,"Services"
"F89330",0.0937213314824641,-0.0709986910098068,"Wholesale"
"H31500",0.149156035846614,0.055324718549043,"Finance_RealEstate"
"D75261",0.05534643783873,0.0061721296266794,"Manufacturing"
"F83143",0.0826661755692496,-0.0257743023682588,"Wholesale"
"E10874",0.137735886851757,0.0504626490378909,"Transport_Utilities"
"E18438",0.0840618438530934,-0.0313779925252976,"Transport_Utilities"
"B28484",0.108394190695977,-0.00247903925132144,"Mining"
"E80050",0.0714277734605429,-0.0088803919351518,"Transport_Utilities"
"E82598",0.118543429004896,0.0134829556656263,"Transport_Utilities"
"H11348",0.0575474795043216,-0.00820057971957206,"Finance_RealEstate"
"H38746",0.0507462721389552,0.00679597446860687,"Finance_RealEstate"
"H88405",0.163974547430189,-0.000844818056004579,"Finance_RealEstate"
"F85464",0.0924310636953841,0.061008238213443,"Wholesale"
"I84624",0.0688172243443263,0.0054359503055981,"Services"
"B89952",0.0722329231092804,-0.024684989008942,"Mining"
"D75652",0.0553374869301182,0.0447593182898995,"Manufacturing"
"H85765",0.170668348504849,0.0609542959922238,"Finance_RealEstate"
"H89234",0.169649910397357,0.0449096162410563,"Finance_RealEstate"
"H90001",0.183450341108341,0.0178892289296,"Finance_RealEstate"
"D88434",0.0382411532452296,0.0569873817975766,"Manufacturing"
"G77530",0.0726810523719683,0.00872404906332478,"Retail"
"E85744",0.0553859644767982,0.0313190785992212,"Transport_Utilities"
"I88546",0.0909744390255951,0.0324827458067015,"Services"
"G59010",0.0870441804655687,0.0614687987569001,"Retail"
"H84215",0.0604422732592884,0.0854542900879407,"Finance_RealEstate"
"H66800",0.077694872459724,-0.0312902325596971,"Finance_RealEstate"
"E75470",0.116727557673435,0.078504347199874,"Transport_Utilities"
"I90366",0.0599385779482382,-0.0876076585510136,"Services"
"H11992",0.104004233584743,0.155706671696408,"Finance_RealEstate"
"H88214",0.148325503116423,-0.0251381533499476,"Finance_RealEstate"
"H57007",0.0998972071693803,0.0713641447463957,"Finance_RealEstate"
"H84007",0.0506922456184201,0.0924888792559996,"Finance_RealEstate"
"I85077",0.0654935978432767,-0.0566035098460267,"Services"
"E46463",0.119312041400255,0.032479342628177,"Transport_Utilities"
"E54253",0.116328335471037,0.116392018736183,"Transport_Utilities"
"H90434",0.122023613114247,-0.216639532896074,"Finance_RealEstate"
"H70703",0.103154789830483,-0.067204215354486,"Finance_RealEstate"
"D80928",0.11563341343434,-0.0325051186827736,"Manufacturing"
"D89155",0.0578525065583286,0.012884113247765,"Manufacturing"
"H86451",0.138312367946071,-0.00255858947056142,"Finance_RealEstate"
"H89282",0.0280935722045219,-0.29731725442934,"Finance_RealEstate"
"H63467",0.0852008808743969,0.107273531059225,"Finance_RealEstate"
"H79356",0.0347335993649034,-0.278529187124078,"Finance_RealEstate"
"F23887",0.0626585600050299,0.0312231920504518,"Wholesale"
"H86143",0.123118222365108,-0.136058282792514,"Finance_RealEstate"
"H88222",0.178134217544118,0.0684009299669358,"Finance_RealEstate"
"C80193",0.135152156782831,0.0245421630769137,"Construction"
"E27430",0.106993318603794,0.00791377813603778,"Transport_Utilities"
"E82547",0.105928719971668,0.00577753718766252,"Transport_Utilities"
"I86144",0.122223684723587,-0.0100414174703065,"Services"
"E89456",0.0855708469314777,0.102433792274242,"Transport_Utilities"
"H89490",0.0378095399826445,-0.307580615912528,"Finance_RealEstate"
"E77157",0.133830204426686,-0.00325677380299175,"Transport_Utilities"
"H89233",0.140116239688514,-0.00743843803403375,"Finance_RealEstate"
"D89971",0.100392647060679,0.033982939095205,"Manufacturing"
"E88352",0.087453101835112,0.00513076165520411,"Transport_Utilities"
"H89748",0.174541382138703,0.0595627092355353,"Finance_RealEstate"
"F63773",0.0822290737067414,0.00726565336026163,"Wholesale"
"H10629",0.0945426466234779,0.212804161409978,"Finance_RealEstate"
"B86341",0.0208003246120267,-0.111297943275705,"Mining"
"H75336",0.11562348120137,-0.194544200944156,"Finance_RealEstate"
"G90371",0.0754152676926693,0.0801706491077078,"Retail"
"E62228",0.0797002521269484,-0.0615509148184777,"Transport_Utilities"
"H78852",0.0264105333454905,-0.262515098783413,"Finance_RealEstate"
"D80070",0.125714559990407,-0.0373552994066053,"Manufacturing"
"H90003",0.17404773708102,0.0190054649350105,"Finance_RealEstate"
"I83303",0.00776962740162741,0.00549726037177069,"Services"
"D79686",0.0783615545933031,0.0750017154521894,"Manufacturing"
"H77607",0.0452213007208973,-0.313616059437649,"Finance_RealEstate"
"H89517",0.101941856903816,-0.226000127474158,"Finance_RealEstate"
"H79665",0.126546504938581,-0.1660438884839,"Finance_RealEstate"
"D85926",0.128111063630692,0.0277434536167718,"Manufacturing"
"F87447",0.11233553500785,0.128019707364777,"Wholesale"
"D36281",0.0709685702346662,0.0505170869846194,"Manufacturing"
"H88404",0.182225383124927,0.04360733561088,"Finance_RealEstate"
"C84603",0.0911434476542353,-0.00969036165254298,"Construction"
"E12490",0.113800570146785,0.00554891811898183,"Transport_Utilities"
"H81299",0.0977428784688316,-0.0614870202162262,"Finance_RealEstate"
"I84373",0.0777481508271537,0.0460180156027416,"Services"
"H75269",0.0969256872033005,-0.0552624887999649,"Finance_RealEstate"
"H90038",0.111265596412113,0.00693329788265229,"Finance_RealEstate"
